#,Keyword,Bucket,Intent,Est_MSV_band_claude,Likely_competition,AI_Overview_likely,DataForSEO_MSV,DataForSEO_competition,SERP_top3_live,Content_angle,Target_route,Page_status,Primary_CTA,Internal_links,Schema_additions,Status,Notes
1,long stay serviced apartments marylebone,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Regent's Park & Marylebone' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-regents-park-marylebone,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
2,long stay serviced apartments shoreditch,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Old Street & Shoreditch' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-old-street-shoreditch,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
3,long stay serviced apartments kensington,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Kensington & Hammersmith' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-kensington-hammersmith,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
4,long stay serviced apartments mayfair,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Fitzrovia & Mayfair' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-fitzrovia-mayfair,NEW,WhatsApp Ali +44 7375 621453,"/locations/fitzrovia-mayfair, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
5,long stay serviced apartments farringdon,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Barbican & Farringdon' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-barbican-farringdon,NEW,WhatsApp Ali +44 7375 621453,"/locations/barbican-farringdon, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
6,long stay serviced apartments borough,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Borough & Pimlico' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-borough-pimlico,NEW,WhatsApp Ali +44 7375 621453,"/locations/borough-pimlico, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
7,long stay serviced apartments maida vale,A1 long-stay,commercial,50-200,medium,Y,,,"Authoritative 'how long-stay actually works in Little Venice & Maida Vale' — real per-week pricing math, bills-included breakdown vs assured shorthold tenancy, council-tax angle. Staylio has actual multi-month bookings here.",/guides/long-stay-little-venice-maida-vale,NEW,WhatsApp Ali +44 7375 621453,"/locations/little-venice-maida-vale, /corporate, /faq, 2x listings in area","Article, FAQPage, BreadcrumbList",CANDIDATE · PENDING_DATAFORSEO,,
8,monthly rental apartments marylebone,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Regent's Park & Marylebone: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-regents-park-marylebone,NEW,WhatsApp Ali +44 7375 621453,"/locations/regents-park-marylebone, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
9,monthly rental apartments shoreditch,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Old Street & Shoreditch: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-old-street-shoreditch,NEW,WhatsApp Ali +44 7375 621453,"/locations/old-street-shoreditch, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
10,monthly rental apartments kensington,A2 monthly,commercial,30-150,medium,N,,,Monthly stay math in Kensington & Hammersmith: from-£/month vs Airbnb monthly vs traditional rental. Show 4-week vs 8-week price step-down. Real Staylio rates.,/guides/monthly-rental-kensington-hammersmith,NEW,WhatsApp Ali +44 7375 621453,"/locations/kensington-hammersmith, /apartments-vs-hotels, 3x listings","Article, FAQPage, Offer",CANDIDATE · PENDING_DATAFORSEO,,
